module,feature_id,feature_name,description,status,priority,notes,deadline
Event Brief Export,EB-003,AI Field Marking,Mark AI-researched fields in Event Brief export,completed,high,Adds [AI Researched] marker to fields filled by AI,
Event Scoring,SCORE-001,Calculate Event Score,Utility function to calculate total event score (0-100),completed,high,Calculates historyScore regionScore contactScore delegatesScore,
Event Scoring,SCORE-002,History Score Calculation,Calculate history score based on Vietnam and SEA events,completed,high,25 points for Vietnam events 15 for SEA 0 otherwise,
Event Scoring,SCORE-003,Region Score Calculation,Calculate region score based on event name and locations,completed,high,25 for ASEAN/Asia/Pacific keywords 15 for Asian locations,
Event Scoring,SCORE-004,Contact Score Calculation,Calculate contact score based on available contact information,completed,high,25 for email+phone 20 for email+name 15 for email only,
Event Scoring,SCORE-005,Delegates Score Calculation,Calculate delegates score based on average attendance,completed,high,25 for 500+ 20 for 300+ 10 for 100+,
Event Scoring,SCORE-006,Format Event History,Utility function to format event history from editions,completed,medium,Formats as YEAR: City Country (delegates),
Data Quality Assessment,DQ-001,Detect Data Issues,Utility function to detect data quality issues in organization data,completed,high,Identifies critical warnings and info-level issues,
Data Quality Assessment,DQ-002,Calculate Data Quality Score,Utility function to calculate data quality score (0-100),completed,high,Deducts points for issues adds bonus for complete data,
Data Quality Assessment,DQ-003,Extract Organization Name,Utility function to extract organization name from data,completed,high,Handles multiple field name variations case-insensitive,
Data Quality Assessment,DQ-004,Extract Event Name,Utility function to extract event name from Editions sheet,completed,high,Prioritizes SeriesName for grouping editions,
Data Quality Assessment,DQ-005,Validate Email Format,Utility function to validate email format,completed,medium,Regex-based email validation,
Data Quality Assessment,DQ-006,Validate Phone Format,Utility function to validate phone format,completed,medium,Basic phone number validation,
System Infrastructure,INFRA-001,Health Check Endpoint,API endpoint to check system and database health,completed,high,GET /health - Tests database connection,
System Infrastructure,INFRA-002,Test Endpoint,Simple test endpoint to verify API is running,completed,low,GET /test,
System Infrastructure,INFRA-003,CORS Configuration,Configure CORS for frontend integration,completed,high,Supports multiple origins development and production,
System Infrastructure,INFRA-004,Error Handling Middleware,Express error handling middleware,completed,high,Handles errors and returns appropriate status codes,
System Infrastructure,INFRA-005,404 Handler,Express 404 handler for unmatched routes,completed,medium,Returns 404 JSON response,
Database,DB-001,Database Connection Pooling,PostgreSQL connection pooling configuration,completed,high,Uses pg library with connection pooling,
Database,DB-002,User Model,Database model for user operations,completed,high,CRUD operations for users table,
Database,DB-003,Lead Model,Database model for lead operations,completed,high,CRUD operations for leads table with filtering,
Database,DB-004,Email Template Model,Database model for email template operations,completed,high,CRUD operations for email_templates table,
Database,DB-005,Email Log Model,Database model for email log operations,completed,high,CRUD operations for email_logs and attachments,
Database,DB-006,Chat Message Model,Database model for chat message operations,completed,high,CRUD operations for chat_messages table,
AI Knowledge Base,KB-001,ICCA Leads Knowledge Base,Load and format ICCA Leads data as knowledge base for AI,completed,high,Provides context to AI about leads industry country patterns,
AI Knowledge Base,KB-002,Knowledge Base Formatting,Format leads data into structured knowledge base text,completed,high,Includes industry distribution country breakdown high-priority leads,
AI Knowledge Base,KB-003,High Priority Lead Identification,Identify high-priority leads (Vietnam events 300+ delegates),completed,high,Automatically flags leads for AI context,
Rate Limiting,RL-001,Retry Delay Extraction,Extract retry delay from rate limit errors,completed,medium,Handles Gemini and GPT API rate limits,
Rate Limiting,RL-002,Rate Limit Error Handling,Handle rate limit errors with retry information,completed,medium,Returns retryDelay and isRateLimit flags,
File Upload,FILE-001,Multer Configuration,Configure multer for file uploads (Excel CSV),completed,high,Memory storage 10MB limit file type validation,
File Upload,FILE-002,Excel File Validation,Validate Excel file types (.xls .xlsx .xlsm),completed,high,File filter for Excel MIME types,
File Upload,FILE-003,CSV File Validation,Validate CSV file types (.csv .txt),completed,high,File filter for CSV MIME types,
